PSkr | PTsr | ATsr | OTsr | Tsr | Orthography
njēlm → enzēlm → enzeln → enzell → eðrel → edhrel
njeléwat → enzeléwat → enzeléwath → enzeléwat → eðreléwad → edhreléwad
énjelhr → énzelhr → énzell → énzell → éðrel → édhrel
seya → seya → sey → sei → se → se
hseyas → aseyas → aseyas → aþeia → aþe → athe
hseyam → aseyam → aseyan → aþeian → aþeian → atheian
hsyéwat → asyéwat → asyéwath → aþéwat → aþéwad → athéwad
hésyst → hésyst → ésysth → éþst → éþt → étht
weya → weya → wey → wei → gwe → gwe
céweyas → séweyas → séweyas → séweia → séwe → séwe
céweyam → séweyam → séweyan → séweian → séweian → séweian
cwyéwat → swyéwat → swyéwath → xyéwat → hiéwad → hiéwad
cweyast → sweyast → sweyasth → xeiast → heiast → heiast
éngalan → éngalan → éŋkalan → éŋxalan → éŋgalan → éñgalan
énglns → énglens → éŋklens → éŋxless → éxles → échles
énglnm → énglenm → éŋklenn → éŋxlenn → éxlin → échlin
ngalanwat → engalanwat → eŋkalanwath → eŋxalanwat → eŋgalambad → eñgalambad
sngodek → sengodek → seŋkotekh → seŋxotex → seŋgodex → señgodech
sóngdks → sóngdks → sóŋkkkhs → sóŋxxxs → sóŋ → sóñ
sóngdkm → sóngdkm → sóŋkkkhn → sóŋxxxn → sóŋx → sóñch
sngodekwat → sengodekat → seŋkotekhath → seŋxotexat → seŋgodexad → señgodechad
nœs → nœs → nœs → neuh → ne → ne
nœs → nœs → nœs → neuh → ne → ne
nœsm → nœsm → lœsn → leunn → leun → leun
nosówat → nosówat → nosówath → nohówat → noówad → noówad
ónoshr → ónoshr → ónorr → ónorr → ónorer → ónorer
lstēr → alstēr → alsthēr → alsþēr → alþaer → althaer
lésters → lésters → lésthers → lésþers → léþes → léthes
lésterm → lésterm → lésthern → lésþern → léþer → léther
lsteréwat → alsteréwat → alstheréwath → alsþréwat → alréwad → alréwad
lstērst → alstērst → alsthersth → alsþerst → alþest → althest
wahos → wāos → wāos → wōo → gwau → gwau
wéwhs → wéwhs → wéxs → wéxs → gwéxs → gwéchs
wéwhsm → wéwhsm → wéxsn → wéxnn → gwéxen → gwéchen
uwahoswat → uwāoswat → uwāoswath → uōoxat → gwauxad → gwauchad
shægw → shæg → ræk → rīk → rīg → rîg
shægws → shægs → ræks → rīks → rigs → rigs
shægwsm → shægsm → ræksn → rīknn → rigen → rigen
shegwéwat → shagéwat → rakéwath → rakéwat → ragéwad → ragéwad
séhegwhr → sēaghr → sēaħr → sēagr → saeaer → saeaer
émbēh → émbē → émpē → émøe → émp → émp
émbehs → émbās → émpās → émøa → émp → émp
émbehm → émbām → émpān → émøōn → émaun → émaun
mbehéwat → embāéwat → empāéwath → emøōéwat → emawéwad → emawéwad
mbēhr → embēr → empēr → emøēr → emaer → emaer
njnrn → enzenurn → enzenurn → enzenurn → eðrenor → edhrenor
jnrns → zenrens → zenrens → zenress → ðeðres → dhedhres
ésanam → ésanam → ésanan → éþanan → éþanan → éthanan
ésnms → ésenems → ésenems → éþeness → éþenes → éthenes
ésnm → ésenm → ésenn → éþenn → éþin → éthin
sanamwat → sanamwat → sanamwath → sananwat → sanambad → sanambad
ghams → ghams → ħams → ħass → as → as
géhams → gēams → kēams → kēass → kaeas → caeas
géhamsm → gēamsm → kēamsn → kēasnn → kaeasen → caeasen
ghmséwat → ghemséwat → ħemséwath → esséwat → esséwad → esséwad
ghamshr → ghamshr → ħamrr → amrr → awer → awer
émbalar → émbalar → émpalar → émøalar → émalar → émalar
émbalars → émbalars → émpalars → émøalars → émalas → émalas
émbalarm → émbalarm → émpalarn → émøalarn → émalar → émalar
mblréwat → embalréwat → empalléwath → emøalléwat → emalléwad → emalléwad
mbalarhr → embalarhr → empalarr → emøalarr → emalarer → emalarer
umboc → umbos → umpos → umøo → ep → ep
umbocs → umboss → umposs → umøoss → gmos → gmos
umbocm → umbosm → umposn → umøonn → gmon → gmon
umbacwat → umbaswat → umpaswath → umøaxat → gmaxad → gmachad
ugœs → ugœs → ukœs → ukeu → eke → ece
wógos → wógos → wakos → wako → gwag → gwag
wógosm → wógosm → wakosn → wakonn → gwagon → gwagon
ugosówat → ugosówat → ukosówath → ukohówat → ekoówad → ecoówad
ugœshr → ugœshr → ukœrr → ukeurr → ekeurer → eceurer
óscœr → óssœr → óssœr → ósseur → ósseur → ósseur
óscors → óssors → óssors → óssors → óssos → óssos
óscorm → óssorm → óssorn → óssorn → óssor → óssor
scœrwat → sœrwat → sœrwath → seurwat → seurwad → seurwad
gnjatr → genzatr → kenzathr → kenzaþr → keðraser → cedhraser
gnjawat → genzawat → kenzawath → kenzawat → keðraud → cedhraud
gnjatrm → genzaturm → kenzathurn → kenzaþurn → keðrasor → cedhrasor
gnjtréwat → genztréwat → kenzthréwath → kenzþréwat → keðréwad → cedhréwad
génjwatt → génzwatt → kénzwasth → kénzwast → kéðwast → cédhwast
glaban → glaban → klapan → klapan → klaban → claban
gélabans → gélabans → kélapans → kélapass → kélabas → célabas
gélabanm → gélabanm → kélapann → kélapann → kélaban → célaban
glbnéwat → galbnéwat → kalpnéwath → kalbnéwat → kalnéwad → calnéwad
glabanst → glabanst → klapansth → klapasst → klabast → clabast
swēt → swēt → swēth → xēt → haed → haed
swēts → swēts → sweths → xeþs → heþ → heth
swētm → swētm → swethn → xetþ → hets → hets
swetéwat → swetéwat → swethéwath → xeþéwat → heþéwad → hethéwad
séwetst → séwetst → séwethsth → séweþst → séweþt → séwetht
égawah → égawā → ékawā → ékawa → égau → égau
égawahs → égawās → ékawās → ékawa → égau → égau
égawahm → égawām → ékawān → ékawōn → égaun → égaun
gwhéwat → ghéwat → ħéwath → éwat → éwad → éwad
gawahst → gawāst → kawasth → kawast → kaust → caust
bēr → bēr → pēr → pēr → paer → paer
bērs → bērs → pers → pers → pes → pes
bērm → bērm → pern → pern → pēr → pêr
beréwat → beréwat → peréwath → préwat → préwad → préwad
ébīrst → ébīrst → épirsth → épirst → ébist → ébist
éjōp → ézōp → ézōph → ézōø → érauf → érauf
éjēps → ézēps → ézephs → ézeøs → érefs → érefs
éjēpm → ézēpm → ézephn → ézeøn → éref → éref
jōpwat → zōpwat → zophphath → zoøøat → ðoffad → dhoffad
éherek → ēarek → ēarekh → ēarex → aearex → aearech
éhereks → ēareks → ēarekhs → ēarexs → aearexs → aearechs
éherekm → ēarekm → ēarekhn → ēarexn → aearex → aearech
hrkéwat → hurkéwat → urkhéwath → urxéwat → exéwad → echéwad
herekhr → harekhr → arekhr → arexr → arexer → arecher
ghebo → ghabo → ħap → ħap → āb → âb
ghebos → ghabos → ħapos → apo → āb → âb
ghebom → ghabom → ħapon → apon → abon → abon
ghbówat → ghbówat → pówath → pówat → pówad → pówad
góhbhr → gōbhr → kour → kūr → kūr → cûr
óbonam → óbonam → óponan → óponan → óbonan → óbonan
óbonams → óbonams → óponams → óponass → óbonas → óbonas
óbonam → óbonam → óponan → óponan → óbonan → óbonan
bnmówat → benmówat → penmówath → penmówat → pembówad → pembówad
bonamst → bonamst → ponamsth → ponasst → ponast → ponast
